,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,temp_F,month,Season,date,date_YM
35858,None,297.92,0.0,0.0,5,Clear,sky is clear,2017-08-01 21:00:00,2865,76.58600000000007,8,Summer,2017-08-01,2017-08
35859,None,296.09,0.0,0.0,5,Clear,sky is clear,2017-08-01 22:00:00,1972,73.292,8,Summer,2017-08-01,2017-08
35860,None,294.15,0.0,0.0,1,Clear,sky is clear,2017-08-01 23:00:00,1213,69.8,8,Summer,2017-08-01,2017-08
35861,None,294.22,0.0,0.0,1,Mist,mist,2017-08-02 00:00:00,708,69.92600000000009,8,Summer,2017-08-02,2017-08
35862,None,294.15,0.0,0.0,40,Clouds,scattered clouds,2017-08-02 01:00:00,468,69.8,8,Summer,2017-08-02,2017-08
35863,None,293.58,0.0,0.0,40,Mist,mist,2017-08-02 02:00:00,343,68.77400000000002,8,Summer,2017-08-02,2017-08
35864,None,292.93,0.0,0.0,40,Clouds,scattered clouds,2017-08-02 03:00:00,447,67.60400000000006,8,Summer,2017-08-02,2017-08
35865,None,292.15,0.0,0.0,1,Mist,mist,2017-08-02 04:00:00,945,66.2,8,Summer,2017-08-02,2017-08
35866,None,291.65,0.0,0.0,1,Mist,mist,2017-08-02 05:00:00,2943,65.3,8,Summer,2017-08-02,2017-08
35867,None,291.15,0.0,0.0,1,Clear,sky is clear,2017-08-02 06:00:00,5724,64.4,8,Summer,2017-08-02,2017-08
35868,None,290.79,0.0,0.0,40,Clouds,scattered clouds,2017-08-02 07:00:00,6450,63.75200000000008,8,Summer,2017-08-02,2017-08
35869,None,291.43,0.0,0.0,40,Clouds,scattered clouds,2017-08-02 08:00:00,6029,64.90400000000005,8,Summer,2017-08-02,2017-08
35870,None,293.38,0.0,0.0,1,Clear,sky is clear,2017-08-02 09:00:00,4929,68.41400000000003,8,Summer,2017-08-02,2017-08
35871,None,295.15,0.0,0.0,75,Clouds,broken clouds,2017-08-02 10:00:00,4506,71.6,8,Summer,2017-08-02,2017-08
35872,None,296.41,0.0,0.0,40,Clouds,scattered clouds,2017-08-02 11:00:00,4673,73.86800000000008,8,Summer,2017-08-02,2017-08
35873,None,297.75,0.0,0.0,40,Clouds,scattered clouds,2017-08-02 12:00:00,4897,76.28000000000004,8,Summer,2017-08-02,2017-08
35874,None,299.01,0.0,0.0,1,Clear,sky is clear,2017-08-02 13:00:00,4878,78.54800000000003,8,Summer,2017-08-02,2017-08
35875,None,299.35,0.0,0.0,1,Clear,sky is clear,2017-08-02 14:00:00,5289,79.16000000000008,8,Summer,2017-08-02,2017-08
35876,None,299.42,0.0,0.0,1,Clear,sky is clear,2017-08-02 15:00:00,5694,79.28600000000007,8,Summer,2017-08-02,2017-08
35877,None,299.93,0.0,0.0,75,Clouds,broken clouds,2017-08-02 16:00:00,6330,80.20400000000005,8,Summer,2017-08-02,2017-08
35878,None,299.94,0.0,0.0,40,Clouds,scattered clouds,2017-08-02 17:00:00,6138,80.22200000000004,8,Summer,2017-08-02,2017-08
35879,None,298.88,0.0,0.0,75,Clouds,broken clouds,2017-08-02 18:00:00,4655,78.31400000000004,8,Summer,2017-08-02,2017-08
35880,None,298.29,0.0,0.0,75,Clouds,broken clouds,2017-08-02 19:00:00,3766,77.25200000000008,8,Summer,2017-08-02,2017-08
35881,None,297.16,0.0,0.0,75,Clouds,broken clouds,2017-08-02 20:00:00,3299,75.21800000000009,8,Summer,2017-08-02,2017-08
35882,None,294.43,0.0,0.0,75,Clouds,broken clouds,2017-08-02 21:00:00,2837,70.30400000000006,8,Summer,2017-08-02,2017-08
35883,None,293.75,0.0,0.0,75,Clouds,broken clouds,2017-08-02 22:00:00,1978,69.08000000000004,8,Summer,2017-08-02,2017-08
35884,None,293.65,0.0,0.0,75,Clouds,broken clouds,2017-08-02 23:00:00,1210,68.9,8,Summer,2017-08-02,2017-08
35885,None,292.92,0.0,0.0,90,Rain,light rain,2017-08-03 00:00:00,693,67.58600000000007,8,Summer,2017-08-03,2017-08
35886,None,291.93,0.0,0.0,90,Rain,light rain,2017-08-03 01:00:00,394,65.80400000000006,8,Summer,2017-08-03,2017-08
35887,None,291.93,0.0,0.0,90,Drizzle,light intensity drizzle,2017-08-03 01:00:00,394,65.80400000000006,8,Summer,2017-08-03,2017-08
35888,None,291.22,0.0,0.0,75,Rain,light rain,2017-08-03 02:00:00,322,64.5260000000001,8,Summer,2017-08-03,2017-08
35889,None,290.51,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-08-03 03:00:00,390,63.248000000000026,8,Summer,2017-08-03,2017-08
35890,None,290.51,0.0,0.0,90,Rain,light rain,2017-08-03 03:00:00,390,63.248000000000026,8,Summer,2017-08-03,2017-08
35891,None,290.08,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-08-03 04:00:00,896,62.47400000000001,8,Summer,2017-08-03,2017-08
35892,None,289.82,0.0,0.0,90,Rain,light rain,2017-08-03 05:00:00,2863,62.00600000000003,8,Summer,2017-08-03,2017-08
35893,None,289.69,0.0,0.0,90,Rain,light rain,2017-08-03 06:00:00,5460,61.772000000000034,8,Summer,2017-08-03,2017-08
35894,None,289.69,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-08-03 06:00:00,5460,61.772000000000034,8,Summer,2017-08-03,2017-08
35895,None,289.69,0.0,0.0,90,Drizzle,heavy intensity drizzle,2017-08-03 06:00:00,5460,61.772000000000034,8,Summer,2017-08-03,2017-08
35896,None,288.81,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-08-03 07:00:00,5801,60.188000000000045,8,Summer,2017-08-03,2017-08
35897,None,288.81,0.0,0.0,90,Rain,heavy intensity rain,2017-08-03 07:00:00,5801,60.188000000000045,8,Summer,2017-08-03,2017-08
35898,None,288.81,0.0,0.0,90,Mist,mist,2017-08-03 07:00:00,5801,60.188000000000045,8,Summer,2017-08-03,2017-08
35899,None,288.14,0.0,0.0,90,Rain,heavy intensity rain,2017-08-03 08:00:00,5423,58.98200000000001,8,Summer,2017-08-03,2017-08
35900,None,288.14,0.0,0.0,90,Mist,mist,2017-08-03 08:00:00,5423,58.98200000000001,8,Summer,2017-08-03,2017-08
35901,None,287.81,0.0,0.0,90,Rain,heavy intensity rain,2017-08-03 09:00:00,4839,58.38800000000005,8,Summer,2017-08-03,2017-08
35902,None,287.81,0.0,0.0,90,Mist,mist,2017-08-03 09:00:00,4839,58.38800000000005,8,Summer,2017-08-03,2017-08
35903,None,286.79,0.0,0.0,90,Rain,moderate rain,2017-08-03 10:00:00,4365,56.55200000000008,8,Summer,2017-08-03,2017-08
35904,None,286.79,0.0,0.0,90,Drizzle,light intensity drizzle,2017-08-03 10:00:00,4365,56.55200000000008,8,Summer,2017-08-03,2017-08
35905,None,286.08,0.0,0.0,90,Drizzle,light intensity drizzle,2017-08-03 11:00:00,4693,55.274000000000015,8,Summer,2017-08-03,2017-08
35906,None,286.08,0.0,0.0,90,Rain,moderate rain,2017-08-03 11:00:00,4693,55.274000000000015,8,Summer,2017-08-03,2017-08
35907,None,286.22,0.0,0.0,90,Rain,moderate rain,2017-08-03 12:00:00,5009,55.52600000000009,8,Summer,2017-08-03,2017-08
35908,None,286.22,0.0,0.0,90,Mist,mist,2017-08-03 12:00:00,5009,55.52600000000009,8,Summer,2017-08-03,2017-08
35909,None,286.22,0.0,0.0,90,Drizzle,light intensity drizzle,2017-08-03 12:00:00,5009,55.52600000000009,8,Summer,2017-08-03,2017-08
35910,None,285.93,0.0,0.0,90,Rain,light rain,2017-08-03 13:00:00,5104,55.004000000000055,8,Summer,2017-08-03,2017-08
35911,None,285.93,0.0,0.0,90,Mist,mist,2017-08-03 13:00:00,5104,55.004000000000055,8,Summer,2017-08-03,2017-08
35912,None,285.93,0.0,0.0,90,Drizzle,drizzle,2017-08-03 13:00:00,5104,55.004000000000055,8,Summer,2017-08-03,2017-08
35913,None,286.43,0.0,0.0,90,Drizzle,light intensity drizzle,2017-08-03 14:00:00,5447,55.90400000000005,8,Summer,2017-08-03,2017-08
35914,None,286.43,0.0,0.0,90,Mist,mist,2017-08-03 14:00:00,5447,55.90400000000005,8,Summer,2017-08-03,2017-08
35915,None,286.43,0.0,0.0,90,Rain,light rain,2017-08-03 14:00:00,5447,55.90400000000005,8,Summer,2017-08-03,2017-08
35916,None,286.28,0.0,0.0,90,Rain,light rain,2017-08-03 15:00:00,5861,55.63399999999999,8,Summer,2017-08-03,2017-08
35917,None,286.28,0.0,0.0,90,Mist,mist,2017-08-03 15:00:00,5861,55.63399999999999,8,Summer,2017-08-03,2017-08
35918,None,286.28,0.0,0.0,90,Drizzle,drizzle,2017-08-03 15:00:00,5861,55.63399999999999,8,Summer,2017-08-03,2017-08
35919,None,286.15,0.0,0.0,90,Mist,mist,2017-08-03 16:00:00,6587,55.4,8,Summer,2017-08-03,2017-08
35920,None,286.15,0.0,0.0,90,Rain,moderate rain,2017-08-03 16:00:00,6587,55.4,8,Summer,2017-08-03,2017-08
35921,None,286.15,0.0,0.0,90,Drizzle,drizzle,2017-08-03 16:00:00,6587,55.4,8,Summer,2017-08-03,2017-08
35922,None,286.35,0.0,0.0,90,Rain,light rain,2017-08-03 17:00:00,6060,55.76000000000008,8,Summer,2017-08-03,2017-08
35923,None,286.35,0.0,0.0,90,Mist,mist,2017-08-03 17:00:00,6060,55.76000000000008,8,Summer,2017-08-03,2017-08
35924,None,286.62,0.0,0.0,90,Clouds,overcast clouds,2017-08-03 18:00:00,4746,56.24600000000005,8,Summer,2017-08-03,2017-08
35925,None,286.75,0.0,0.0,90,Rain,moderate rain,2017-08-03 19:00:00,3430,56.48000000000004,8,Summer,2017-08-03,2017-08
35926,None,286.42,0.0,0.0,90,Rain,light rain,2017-08-03 20:00:00,3123,55.88600000000007,8,Summer,2017-08-03,2017-08
35927,None,286.28,0.0,0.0,90,Rain,light rain,2017-08-03 21:00:00,3816,55.63399999999999,8,Summer,2017-08-03,2017-08
35928,None,285.95,0.0,0.0,75,Rain,light rain,2017-08-03 22:00:00,2423,55.04000000000002,8,Summer,2017-08-03,2017-08
35929,None,285.41,0.0,0.0,75,Rain,light rain,2017-08-03 23:00:00,1642,54.06800000000008,8,Summer,2017-08-03,2017-08
35930,None,285.35,0.0,0.0,90,Rain,light rain,2017-08-04 00:00:00,801,53.96000000000008,8,Summer,2017-08-04,2017-08
35931,None,285.22,0.0,0.0,90,Rain,light rain,2017-08-04 01:00:00,434,53.72600000000009,8,Summer,2017-08-04,2017-08
35932,None,285.22,0.0,0.0,90,Drizzle,light intensity drizzle,2017-08-04 02:00:00,333,53.72600000000009,8,Summer,2017-08-04,2017-08
35933,None,285.22,0.0,0.0,90,Rain,light rain,2017-08-04 02:00:00,333,53.72600000000009,8,Summer,2017-08-04,2017-08
35934,None,285.61,0.0,0.0,90,Clouds,overcast clouds,2017-08-04 03:00:00,366,54.42800000000007,8,Summer,2017-08-04,2017-08
35935,None,285.93,0.0,0.0,75,Clouds,broken clouds,2017-08-04 04:00:00,868,55.004000000000055,8,Summer,2017-08-04,2017-08
35936,None,285.61,0.0,0.0,75,Clouds,broken clouds,2017-08-04 05:00:00,2802,54.42800000000007,8,Summer,2017-08-04,2017-08
35937,None,285.41,0.0,0.0,75,Clouds,broken clouds,2017-08-04 06:00:00,5426,54.06800000000008,8,Summer,2017-08-04,2017-08
35938,None,285.61,0.0,0.0,75,Clouds,broken clouds,2017-08-04 07:00:00,6175,54.42800000000007,8,Summer,2017-08-04,2017-08
35939,None,286.15,0.0,0.0,40,Clouds,scattered clouds,2017-08-04 08:00:00,5350,55.4,8,Summer,2017-08-04,2017-08
35940,None,287.36,0.0,0.0,90,Clouds,overcast clouds,2017-08-04 09:00:00,4778,57.57800000000007,8,Summer,2017-08-04,2017-08
35941,None,289.86,0.0,0.0,20,Clouds,few clouds,2017-08-04 10:00:00,4517,62.07800000000007,8,Summer,2017-08-04,2017-08
35942,None,291.75,0.0,0.0,1,Clear,sky is clear,2017-08-04 11:00:00,4954,65.48000000000005,8,Summer,2017-08-04,2017-08
35943,None,293.82,0.0,0.0,40,Clouds,scattered clouds,2017-08-04 12:00:00,5189,69.20600000000003,8,Summer,2017-08-04,2017-08
35944,None,295.08,0.0,0.0,40,Clouds,scattered clouds,2017-08-04 13:00:00,5206,71.47400000000002,8,Summer,2017-08-04,2017-08
35945,None,296.36,0.0,0.0,75,Clouds,broken clouds,2017-08-04 14:00:00,5563,73.77800000000006,8,Summer,2017-08-04,2017-08
35946,None,296.95,0.0,0.0,75,Clouds,broken clouds,2017-08-04 15:00:00,5890,74.84000000000002,8,Summer,2017-08-04,2017-08
35947,None,297.58,0.0,0.0,40,Clouds,scattered clouds,2017-08-04 16:00:00,6066,75.97400000000002,8,Summer,2017-08-04,2017-08
35948,None,297.36,0.0,0.0,40,Clouds,scattered clouds,2017-08-04 17:00:00,5292,75.57800000000006,8,Summer,2017-08-04,2017-08
35949,None,297.65,0.0,0.0,40,Clouds,scattered clouds,2017-08-04 18:00:00,4534,76.1,8,Summer,2017-08-04,2017-08
35950,None,296.72,0.0,0.0,40,Rain,heavy intensity rain,2017-08-04 19:00:00,3808,74.42600000000009,8,Summer,2017-08-04,2017-08
35951,None,295.72,0.0,0.0,40,Clouds,scattered clouds,2017-08-04 20:00:00,3206,72.62600000000009,8,Summer,2017-08-04,2017-08
35952,None,293.02,0.0,0.0,75,Clouds,broken clouds,2017-08-04 21:00:00,3216,67.766,8,Summer,2017-08-04,2017-08
35953,None,291.15,0.0,0.0,40,Clouds,scattered clouds,2017-08-04 22:00:00,3001,64.4,8,Summer,2017-08-04,2017-08
35954,None,289.22,0.0,0.0,1,Clear,sky is clear,2017-08-04 23:00:00,2423,60.92600000000009,8,Summer,2017-08-04,2017-08
35955,None,288.51,0.0,0.0,1,Clear,sky is clear,2017-08-05 00:00:00,1472,59.648000000000025,8,Summer,2017-08-05,2017-08
35956,None,287.86,0.0,0.0,1,Clear,sky is clear,2017-08-05 01:00:00,882,58.478000000000065,8,Summer,2017-08-05,2017-08
35957,None,287.29,0.0,0.0,1,Clear,sky is clear,2017-08-05 02:00:00,546,57.452000000000076,8,Summer,2017-08-05,2017-08
35958,None,286.51,0.0,0.0,1,Clear,sky is clear,2017-08-05 03:00:00,414,56.04800000000002,8,Summer,2017-08-05,2017-08
35959,None,285.72,0.0,0.0,1,Clear,sky is clear,2017-08-05 04:00:00,468,54.62600000000009,8,Summer,2017-08-05,2017-08
35960,None,285.01,0.0,0.0,1,Clear,sky is clear,2017-08-05 05:00:00,880,53.34800000000003,8,Summer,2017-08-05,2017-08
35961,None,284.72,0.0,0.0,1,Mist,mist,2017-08-05 06:00:00,1431,52.82600000000009,8,Summer,2017-08-05,2017-08
35962,None,284.68,0.0,0.0,20,Mist,mist,2017-08-05 07:00:00,1940,52.754000000000055,8,Summer,2017-08-05,2017-08
35963,None,286.22,0.0,0.0,1,Clear,sky is clear,2017-08-05 08:00:00,2647,55.52600000000009,8,Summer,2017-08-05,2017-08
35964,None,289.08,0.0,0.0,1,Clear,sky is clear,2017-08-05 09:00:00,3649,60.674000000000014,8,Summer,2017-08-05,2017-08
35965,None,291.5,0.0,0.0,1,Clear,sky is clear,2017-08-05 10:00:00,4049,65.03000000000004,8,Summer,2017-08-05,2017-08
35966,None,293.61,0.0,0.0,75,Clouds,broken clouds,2017-08-05 11:00:00,4143,68.82800000000006,8,Summer,2017-08-05,2017-08
35967,None,294.94,0.0,0.0,75,Clouds,broken clouds,2017-08-05 12:00:00,4535,71.22200000000004,8,Summer,2017-08-05,2017-08
35968,None,296.48,0.0,0.0,75,Clouds,broken clouds,2017-08-05 13:00:00,4378,73.99400000000007,8,Summer,2017-08-05,2017-08
35969,None,297.15,0.0,0.0,1,Clear,sky is clear,2017-08-05 14:00:00,4512,75.2,8,Summer,2017-08-05,2017-08
35970,None,297.62,0.0,0.0,75,Clouds,broken clouds,2017-08-05 15:00:00,4480,76.04600000000005,8,Summer,2017-08-05,2017-08
35971,None,297.08,0.0,0.0,90,Rain,light rain,2017-08-05 16:00:00,4586,75.07400000000001,8,Summer,2017-08-05,2017-08
35972,None,297.23,0.0,0.0,75,Rain,proximity shower rain,2017-08-05 17:00:00,4555,75.34400000000008,8,Summer,2017-08-05,2017-08
35973,None,295.72,0.0,0.0,75,Thunderstorm,proximity thunderstorm,2017-08-05 18:00:00,4065,72.62600000000009,8,Summer,2017-08-05,2017-08
35974,None,295.72,0.0,0.0,75,Rain,proximity shower rain,2017-08-05 18:00:00,4065,72.62600000000009,8,Summer,2017-08-05,2017-08
35975,None,294.87,0.0,0.0,90,Rain,proximity shower rain,2017-08-05 19:00:00,3569,71.09600000000005,8,Summer,2017-08-05,2017-08
35976,None,293.15,0.0,0.0,75,Rain,light rain,2017-08-05 20:00:00,3091,68.0,8,Summer,2017-08-05,2017-08
35977,None,293.15,0.0,0.0,75,Mist,mist,2017-08-05 20:00:00,3091,68.0,8,Summer,2017-08-05,2017-08
35978,None,292.08,0.0,0.0,90,Clouds,overcast clouds,2017-08-05 21:00:00,2927,66.07400000000001,8,Summer,2017-08-05,2017-08
35979,None,290.95,0.0,0.0,75,Clouds,broken clouds,2017-08-05 22:00:00,3096,64.04000000000002,8,Summer,2017-08-05,2017-08
35980,None,290.08,0.0,0.0,1,Clear,sky is clear,2017-08-05 23:00:00,3893,62.47400000000001,8,Summer,2017-08-05,2017-08
35981,None,288.79,0.0,0.0,1,Clear,sky is clear,2017-08-06 00:00:00,1885,60.15200000000008,8,Summer,2017-08-06,2017-08
35982,None,288.42,0.0,0.0,40,Mist,mist,2017-08-06 01:00:00,1151,59.48600000000007,8,Summer,2017-08-06,2017-08
35983,None,288.08,0.0,0.0,1,Clear,sky is clear,2017-08-06 02:00:00,731,58.87400000000001,8,Summer,2017-08-06,2017-08
35984,None,288.48,0.0,0.0,1,Clear,sky is clear,2017-08-06 03:00:00,501,59.59400000000007,8,Summer,2017-08-06,2017-08
35985,None,288.55,0.0,0.0,1,Clear,sky is clear,2017-08-06 04:00:00,414,59.72000000000006,8,Summer,2017-08-06,2017-08
35986,None,288.61,0.0,0.0,1,Clear,sky is clear,2017-08-06 05:00:00,652,59.82800000000007,8,Summer,2017-08-06,2017-08
35987,None,288.79,0.0,0.0,1,Rain,light rain,2017-08-06 06:00:00,1055,60.15200000000008,8,Summer,2017-08-06,2017-08
35988,None,288.61,0.0,0.0,90,Clouds,overcast clouds,2017-08-06 07:00:00,1309,59.82800000000007,8,Summer,2017-08-06,2017-08
35989,None,289.15,0.0,0.0,75,Mist,mist,2017-08-06 08:00:00,2002,60.8,8,Summer,2017-08-06,2017-08
35990,None,290.51,0.0,0.0,40,Clouds,scattered clouds,2017-08-06 09:00:00,2733,63.248000000000026,8,Summer,2017-08-06,2017-08
35991,None,292.28,0.0,0.0,75,Clouds,broken clouds,2017-08-06 10:00:00,3602,66.434,8,Summer,2017-08-06,2017-08
35992,None,293.95,0.0,0.0,75,Clouds,broken clouds,2017-08-06 11:00:00,4317,69.44000000000003,8,Summer,2017-08-06,2017-08
35993,None,295.15,0.0,0.0,75,Clouds,broken clouds,2017-08-06 12:00:00,4636,71.6,8,Summer,2017-08-06,2017-08
35994,None,296.29,0.0,0.0,90,Clouds,overcast clouds,2017-08-06 13:00:00,4399,73.65200000000007,8,Summer,2017-08-06,2017-08
35995,None,295.87,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-08-06 14:00:00,4186,72.89600000000004,8,Summer,2017-08-06,2017-08
35996,None,295.87,0.0,0.0,90,Rain,light rain,2017-08-06 14:00:00,4186,72.89600000000004,8,Summer,2017-08-06,2017-08
35997,None,294.43,0.0,0.0,75,Rain,light rain,2017-08-06 15:00:00,4255,70.30400000000006,8,Summer,2017-08-06,2017-08
35998,None,294.43,0.0,0.0,75,Thunderstorm,thunderstorm with rain,2017-08-06 15:00:00,4255,70.30400000000006,8,Summer,2017-08-06,2017-08
35999,None,294.43,0.0,0.0,75,Drizzle,light intensity drizzle,2017-08-06 15:00:00,4255,70.30400000000006,8,Summer,2017-08-06,2017-08
36000,None,294.56,0.0,0.0,75,Rain,light rain,2017-08-06 16:00:00,3963,70.53800000000004,8,Summer,2017-08-06,2017-08
36001,None,295.01,0.0,0.0,75,Thunderstorm,thunderstorm with light rain,2017-08-06 17:00:00,4073,71.34800000000003,8,Summer,2017-08-06,2017-08
36002,None,293.75,0.0,0.0,90,Rain,light rain,2017-08-06 18:00:00,3999,69.08000000000004,8,Summer,2017-08-06,2017-08
36003,None,292.95,0.0,0.0,90,Rain,light rain,2017-08-06 19:00:00,3727,67.64000000000001,8,Summer,2017-08-06,2017-08
36004,None,292.95,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-08-06 19:00:00,3727,67.64000000000001,8,Summer,2017-08-06,2017-08
36005,None,292.15,0.0,0.0,90,Rain,light rain,2017-08-06 20:00:00,2872,66.2,8,Summer,2017-08-06,2017-08
36006,None,292.15,0.0,0.0,90,Drizzle,light intensity drizzle,2017-08-06 20:00:00,2872,66.2,8,Summer,2017-08-06,2017-08
36007,None,290.86,0.0,0.0,90,Rain,light rain,2017-08-06 21:00:00,2665,63.878000000000064,8,Summer,2017-08-06,2017-08
36008,None,290.86,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-08-06 21:00:00,2665,63.878000000000064,8,Summer,2017-08-06,2017-08
36009,None,289.75,0.0,0.0,75,Rain,light rain,2017-08-06 22:00:00,2802,61.88000000000004,8,Summer,2017-08-06,2017-08
36010,None,289.14,0.0,0.0,90,Clouds,overcast clouds,2017-08-06 23:00:00,1480,60.78200000000002,8,Summer,2017-08-06,2017-08
36011,None,289.08,0.0,0.0,1,Mist,mist,2017-08-07 00:00:00,632,60.674000000000014,8,Summer,2017-08-07,2017-08
36012,None,289.08,0.0,0.0,1,Fog,fog,2017-08-07 00:00:00,632,60.674000000000014,8,Summer,2017-08-07,2017-08
36013,None,288.28,0.0,0.0,1,Mist,mist,2017-08-07 01:00:00,405,59.233999999999995,8,Summer,2017-08-07,2017-08
36014,None,288.28,0.0,0.0,1,Fog,fog,2017-08-07 01:00:00,405,59.233999999999995,8,Summer,2017-08-07,2017-08
36015,None,287.15,0.0,0.0,1,Mist,mist,2017-08-07 02:00:00,292,57.2,8,Summer,2017-08-07,2017-08
36016,None,287.15,0.0,0.0,1,Fog,fog,2017-08-07 02:00:00,292,57.2,8,Summer,2017-08-07,2017-08
36017,None,286.88,0.0,0.0,40,Mist,mist,2017-08-07 03:00:00,350,56.714000000000034,8,Summer,2017-08-07,2017-08
36018,None,286.88,0.0,0.0,40,Fog,fog,2017-08-07 03:00:00,350,56.714000000000034,8,Summer,2017-08-07,2017-08
36019,None,286.08,0.0,0.0,1,Mist,mist,2017-08-07 04:00:00,879,55.274000000000015,8,Summer,2017-08-07,2017-08
36020,None,286.08,0.0,0.0,1,Fog,fog,2017-08-07 04:00:00,879,55.274000000000015,8,Summer,2017-08-07,2017-08
36021,None,285.93,0.0,0.0,1,Mist,mist,2017-08-07 05:00:00,2878,55.004000000000055,8,Summer,2017-08-07,2017-08
36022,None,285.93,0.0,0.0,1,Fog,fog,2017-08-07 05:00:00,2878,55.004000000000055,8,Summer,2017-08-07,2017-08
36023,None,285.55,0.0,0.0,1,Mist,mist,2017-08-07 06:00:00,5647,54.320000000000064,8,Summer,2017-08-07,2017-08
36024,None,285.55,0.0,0.0,1,Fog,fog,2017-08-07 06:00:00,5647,54.320000000000064,8,Summer,2017-08-07,2017-08
36025,None,285.48,0.0,0.0,1,Mist,mist,2017-08-07 07:00:00,6357,54.194000000000074,8,Summer,2017-08-07,2017-08
36026,None,285.48,0.0,0.0,1,Fog,fog,2017-08-07 07:00:00,6357,54.194000000000074,8,Summer,2017-08-07,2017-08
36027,None,287.29,0.0,0.0,5,Fog,fog,2017-08-07 08:00:00,6073,57.452000000000076,8,Summer,2017-08-07,2017-08
36028,None,287.29,0.0,0.0,5,Mist,mist,2017-08-07 08:00:00,6073,57.452000000000076,8,Summer,2017-08-07,2017-08
36029,None,289.65,0.0,0.0,90,Fog,fog,2017-08-07 09:00:00,4877,61.7,8,Summer,2017-08-07,2017-08
36030,None,289.65,0.0,0.0,90,Mist,mist,2017-08-07 09:00:00,4877,61.7,8,Summer,2017-08-07,2017-08
36031,None,291.54,0.0,0.0,1,Fog,fog,2017-08-07 10:00:00,4350,65.10200000000007,8,Summer,2017-08-07,2017-08
36032,None,294.14,0.0,0.0,5,Haze,haze,2017-08-07 11:00:00,4505,69.78200000000001,8,Summer,2017-08-07,2017-08
36033,None,295.88,0.0,0.0,40,Clouds,scattered clouds,2017-08-07 12:00:00,4857,72.91400000000003,8,Summer,2017-08-07,2017-08
